What if my body temperature increases beyond 37.6 degrees?,"High fever in early pregnancy is bad for the developing baby as it increases the chances of miscarriage and birth defects like spinal cord and brain malformation. Thus, all treatments that raise your body temperature should be off limits during pregnancy. These include the sauna, steam room and hot tub. Warm baths are fine as long as they are not super hot, since water cools off fairly quickly.",what,Health
How much weight should I gain during pregnancy?,Most pregnant women should expect a weight gain of 10�12 kg throughout the entire pregnancy.,how,Diet
What happens if I am eating too little?,Women who are severely underweight (body mass index <19 kg/m2) during pregnancy and who are not eating enough are more likely to have a baby who is small and of low birth-weight. This can have serious long-term effects on the baby�s health. ,what,Diet
Why can't I sleep comfortably during pregnancy?,"Pregnancy is demanding both physically and emotionally. The increasing size of your belly makes it hard to find a comfortable sleeping position. If you have always been a back or stomach sleeper, it may be difficult to get used to sleeping on your side as recommended by your doctor.",why,Sleep
Why do I keep going to the toilet at night?,"Also, as the growing womb presses on your bladder, you experience more trips to the bathroom, day and night. See your doctor to exclude urinary tract infection if you experience a burning sensation when urinating.",why,Sleep
What is the best sleeping position during pregnancy?,"Some doctors specifically recommend that pregnant women sleep on the left side. This is because your liver is on the right side and lying on your left side helps keep the womb off your liver. Ask what your doctor recommends � but in most cases, lying on either side should be fine.",what,Sleep
Can I do LASIK during pregnancy?,"It is advisable not to have LASIK surgery during pregnancy. During pregnancy, your refraction may be different due to hormonal changes. Also there is the rare possibility that your response to the surgery might not be usual. There is no harm of the surgery to the fetus but your results may be affected. LASIK surgery can be done at least six weeks after breastfeeding.",should,Medical procedures
Can I watch horror movies during pregnancy?,"Watching horror movies in pregnancy is more of a cultural taboo. There is no scientific proof to show its harmful effects on the baby. But fear would evoke the adrenaline gush. Fear activates your nervous system to produce adrenaline hormones. Adrenaline will increase your heart rate and your breathing becomes more shallow and faster. Your blood pressure will increase as well. Loud noises do not usually affect your fetus as he/she is surrounded by amniotic fluid and buffered from the noises. As we encourage all pregnant women to be calm and relaxed and think of happy things, listening to calm music and watching nice entertainment programs will be a better alternative.",should,Lifestyle
Why do I feel sleepy during the day?,"Many women report daytime sleepiness during pregnancy. Try to fit in a quick nap at lunchtime if possible. Most over-the-counter and prescription sleep medications are off-limits when you are pregnant, especially during the first trimester as they may cause fetal malformations and mental retardation. Try activities such as yoga, deep breathing, a relaxing massage or taking a warm bath before bedtime, to get a better night�s sleep.",why,Health
Why am I forgetful when I am pregnant?,"Many moms-to-be begin to feel this way! Some report suddenly find themselves forgetting appointments, missing meetings, and losing their train of thought. Researchers have found that a woman�s brain-cell volume actually decreases during pregnancy. Fortunately, this pregnancy brain fog is only temporary. Most women get back to their normal level of sharpness a few months after delivery. As for the cause, like most pregnancy symptoms, pregnancy forgetfulness is hormonally triggered. Sleep deprivation can also play a role. Here are some methods to try! But do keep in mind that you may need to get used to working at a little below peak efficiency. The fog may well continue after your baby�s arrival (because of fatigue, not hormones) and perhaps may not lift completely until baby (and you) start sleeping through the night.",why,Health
How do I wear a seat belt in a car?,"When traveling in a car, always wear a seat belt to protect you and your unborn baby. The seat belt should be a 3-point restraint with a lap and shoulder belts. Wear your seat belt correctly. The lap belt should go under your belly, across your hips and as high as possible on your thighs. The shoulder strap should go between your breasts and off to the side of your belly. Seat belt straps should fit snugly and never go directly across your tummy.",how,Safety
What are the warning signs that my pregnancy is affected after exercising?,"Of the warnings signs from your body? Do not force yourself to exercise if you do not feel like it or are too tired on a particular day. Expect a decline in overall fitness level as your pregnancy progresses. This is normal as the physical demands of pregnancy increases. Pay attention to your body and be aware of the warning signs , stop exercising and see your obstetrician if you notice any of these symptoms. Warning Signs: Vaginal bleeding, Decreased fetal movements, Fluid leaking from the vagina, Painful womb contractions, Chest pain, Dizziness or feeling faint, Shortness of breath, Headache, Calf pain or swelling, Excessive fatigue.",what,Exercise
Why do I feel like my baby is kicking me?,"Small baby kicks may be felt by the mother after 18 weeks gestation. At 20 weeks gestation, baby weighs about 300 grams and is about 16 cm long. Baby also starts to develop sleep wake patterns similar to that of a newborn. A layer of white creamy vernix coats your baby�s body, protecting your baby�s skin from the long months of submersion in amniotic fluid.",why,Baby
"Why do I feel breathless sometime, is it serious?","Breathlessness in Pregnancy is a common complaint in pregnant mothers especially as the pregnancy advances. There is an increased need for oxygen in pregnancy, and this demand is met by your pregnancy hormones which increase your respiration. In third trimester, the enlarging womb presses onto your diaphragm and increases this sensation of breathlessness. These symptoms are generally harmless to both you and your baby. However, there are certain medical conditions in pregnancy that may also cause breathlessness. They include a lung infection (pneumonia), asthma or pulmonary embolism � a life threatening condition whereby a blood clot goes to the lungs. Therefore, you should seek medical attention if the breathlessness is worsening or associated with symptoms such as: Chest pains, Palpitations, Faintness, Fever, Cough and phlegm.",why,Health
"I feel headaches sometimes, is it serious?","The most common cause for headache during pregnancy and after is due to the changes in hormonal levels. This, in combination with other common symptoms around pregnancy such as fatigue, stress, overheating, may contribute to the headache. If you are having a headache, try these methods to relieve them: - Lie down in a dark quiet room with your eyes closed. If you are busy with something, take a moment to rest (placing an ice pack on the back of your neck may help). - If you'd like painkillers, paracetamol is safe in pregnancy. Avoid NSAIDs during pregnancy as they are not safe, and always check with your doctor first when taking a new pain medication. If none of these methods do not work for you, or you find that the pain persists or is worsening, please seek a medical consult immediately.  Other associated neurological symptoms such as vomiting, blurring of vision or weakness of the limbs may suggest more serious conditions like bleeding or tumor in the brain. Also, headaches could be a sign of an impending eclamptic fit ",symptom,Health
Why do I feel pain at my belly button?,"Belly button (umbilical) pain is common during pregnancy. Your abdominal wall is the thinnest around the navel.This increased pressure due to pregnancy may cause sensitivity and pain in this area. This is harmless and will come and go. If it keeps getting worse, or there is noticeable bulging in that area, see your doctor.",why,Pain
I feel that my baby is moving around in my tummy. Is there a problem?,"You may first begin to feel your baby move at between 18�24 weeks of pregnancy. The feeling is varied and some have described it as a �wave of bubbles�.
This is known as quickening. The actual sensation of the baby�s movements varies between individuals and is dependent on factors such as: Baby�s location. Gestation age. Location of the placenta. Therefore, although fetal movements are used as a convenient way to assess the baby�s wellbeing, there can be pitfalls with this method. In general, fetal kick counts can be recorded in a fetal movement chart � registering the number and time of the kicks. It is considered normal if there are more than ten kicks over a 12-hour period. If there are few or no fetal movements felt, it is prudent to seek medical advice immediately.",symptom,Baby
"I feel like I have a lot of saliva recently, is there a problem?","Some women salivate more during their pregnancy. There may be various reasons why this arises. Changing hormonal levels during the pregnancy may contribute to increased salivation. Morning sickness causing nausea can also lead to increased production of saliva. Heartburn, resulting from the acidic contents of your stomach, may irritate your salivary glands and worsen this problem.",symptom,Health
Why is my heartbeat faster when I am pregnant?,"Your heart is beating at a faster rate and it is a normal physiological response to pregnancy. This is to cope with the demands of increased blood supply to the baby via the placenta. However, if you start experiencing chest pains as well as shortness of breath even at rest, please see your doctor immediately to exclude heart problems",why,Health
Can I consume Aloe Vera products during pregnancy?,"Most herbalists would recommend that aloe not be used in pregnancy, drinking Aloe Vera tea is not safe as it may stimulate womb (uterine) contractions. Remember not to use any herbs during pregnancy without the approval of your doctor.",should,Diet
"I feel that my skin condition has become worse, is it due to pregnancy?","The color of the nipples, genitalia skin and the center of your tummy darken during pregnancy. Pre-existing freckles and �moles� darken. A dark blemish can appear on your cheeks, forehead, nose and chin called melasma (�pregnancy mask�). Here, the melanin deposits are increased in the superficial and middle of the skin. Fortunately, the pigment resolves after delivery. Many women normally have a faint white line (called linea alba) running from their navel to the center of the pubic bone. In the second trimester, this linea alba may darken to be visible. One location that is particularly noticible is running from your umbilicus to the pubic region, and this is called renamed the linea nigra, or black line. It usually starts to appear during the second trimester and most often will begin to fade a few months after delivery (but for some women it may never go away entirely - it's a line of honour!). Don't worry, all expecting mums will have it and it's completely normal!",symptom,Health
"I feel that I sweat more during pregnancy, why is that so?","Most women sweat more as their sweat glands become more active. Especiallyin the third trimester, the oil glands become active and you can develop pimples or acne.",why,Health
What kind of soap and sunblocks should I use?,"While mild soap is recommended during pregnancy, moisturizing soaps are better. Do not use bubble baths or scrub your skin daily. Use a broad spectrum sun block on your face each day, to prevent the pigment from further darkening. Avoid the hot sun. A moisturizer with a sun block is helpful. The spf factor or sun protective factor needs to be at least 15 to 20",what,Chemical products
Do I need to buy special panties for pregnant women?,"The tummy needs an enriching physiological moisturizer and be supported with special maternity panties. Most women continue to wear their normal panties but these don�t support the distending skin. The splits would be less, if these special maternity panties were worn. You need to exercise to keep the abdomen muscles strong. Exercise also reduces stress incontinence. This is a condition where urine leaks out when you cough or sneeze hard. Seaweed wraps and massages are not proven to help.",do,Clothes
Can I use anti-biotic lotions?,"Bad acne can be treated with antibiotic lotions, for example, erythromycin or clindamycin lotions. Do not use tretinoin (Retin-A) cream during pregnancy, as it is known to cause multiple malformations in the baby.",should,Chemical products
"I feel constipated, is this due to pregnancy?","It is very common to become constipated while you are pregnant as food cannot move through your intestines as quickly as before. This is aggravated by your womb putting pressure on your bowels. Constipation can happen at any time during pregnancy.To reduce this: Have lots of fiber, fruits and vegetables in your diet. Have adequate hydration. Exercise regularly. Consult your doctor if it becomes a serious problem.",symptom,Health
Why do I feel that my breasts are sore and painful?,"Your breasts may become engorged and painful owing to the increase in circulating hormones. This can appear as early as a few days after conception. Throughout the pregnancy, the breast will continue to increase in size to prepare you to breastfeed the baby when it arrives. In addition, the areola (pigmented spots around the nipple) will darken. You may even experience some tummy bloatedness as the stomach emptying slows down in pregnancy. Wearing loose clothing and eating small frequent meals may help relieve these symptoms.",why,Pain
Why do I feel faint sometimes after standing for sometime?,"Fainting Spells/Giddiness symptoms arise in the first 20 weeks of pregnancy as the blood pressure lowers as the blood vessels relax. Thus, if you stand for a long time or get up quickly from sitting or lying down, the flow of blood to your brain may be temporarily reduced leading to dizziness or fainting. Certain factors such as excess vomiting or heat may worsen this symptom. As your baby grows, the pressure that it exerts on your large  vessels may reduce the flow of the blood to your brain further and cause more giddiness.",why,Giddy
What are the ways to not feel giddy?,"Certain measures may be helpful in reducing this distressing Fainting Spells/Giddiness symptom. Avoid standing for a long time. Getting up slowly from sitting or lying down may help in preventing a sudden reduction of blood to your brain. Do not go hungry. Do not lie flat on your back after about mid-pregnancy. It is best to lie on one side with your belly supported on a small pillow. If the giddiness hits you, sit or lie down.",what,Giddy
Why are my legs swollen?,"Edema or Swelling of the Legs is common as your body retains more fluids and your growing womb adds pressure to your legs � causing them to swell. It is worst at the end of the day especially in the third trimester. After the delivery of your baby, the swelling will disappear within weeks as your body eliminates the excess fluid through frequent urination. To minimize the swelling, it helps to put your feet up whenever you can. It is also beneficial to do gentle stretching exercises and to wear comfortable shoes. In some cases when there is a sudden increase in leg swelling and puffiness of your face, it could be a sign of pre-eclampsia or hypertension in pregnancy. Consult your doctor if this happens so that your blood pressure can be monitored",why,Swelling
How is my baby doing after 7 months of pregnancy?,"At 28 weeks gestation, your baby weighs an average of 1000 grams, and is about 37 cm long. Your baby�s lungs are now mature enough to breathe air and your baby has a good chance of survival if born now. The eyes are also completely formed now and your baby can blink! Your baby may also have hiccups which you may feel as little jerks in your womb.",how,Baby
"Why are my ears blocked, is it due to pregnancy?","It is normal to have blocked ears during pregnancy. There are many reasons why ears are blocked during pregnancy. As a result of pregnancy changes causing swelling of the nasal lining, the tube that connects the nose to the ears (eustachian tube) may become blocked easily. Simple measures such as decongestants or nasal sprays prescribed by your doctor may be helpful. It is also important for your doctor to exclude other common conditions such as the accumulation of earwax. If your symptoms are worsening or persistent despite the abovementioned measures, it is advisable to seek medical attention from an Ear, Nose and Throat (ENT) specialist.",why,Hearing
Why am I falling sick more easily?,"Pregnant woman seem to get more colds and flu than usual due to the weakened immune system during pregnancy. The body has to lower its defenses to make sure that the baby is not rejected. Unfortunately, pregnant women then become more susceptible to minor flu and colds than before.",why,Health
Why do I feel l that my chest is burning after a meal?,"Burning sensations in the chest, especially after meals, are normal and caused by slowing and relaxing of the muscles in the opening in the stomach. This causes acid reflux. ",why,Diet
Can I wear braces during surgery?,"Many patients wearing braces have no problems with surgery and anesthesia. However, do inform the anesthetist if you are undergoing general anesthesia to take special precautions not to dislodge the braces during intubation of the airway.",should,Medical procedures
Should I follow a schedule such as birth plan?,"Not everyone needs or wants a formal and written birth plan. What is important is that you should have a detailed discussion with your doctor in the antenatal period regarding the process of labor, methods of pain relief and any other concerns. This will make the childbirth more meaningful for you and your partner. Most people have preferences for how things are to be done during the labor and birth. ",should,Planning
What happens when I enter labour?,"Many women who have experienced childbirth remain puzzled about this elusive entity known commonly as �labor�. There are also many versions of laboring symptoms and signs contributed by friends and relatives. Among those include back pain, tummy pain, bladder pain, bleeding from vagina, bursting of water bag and constipation-like symptoms. No two women may experience the same thing. A woman who had more than one child commonly has different experiences for each of her labor. Labor is characterized by: Painful womb contractions, Progressive dilatation of the neck of the womb (cervix), Possible rupture of the amniotic membranes with leakage of liquor or passing out of amucous plug or bloody show.",what,Labour
Why do I feel tightening and contractions without pain?,Contractions that are not associated with pain are probably �Braxton Hicks� or commonly known as �practice� contractions or false labor pains. These painless contractions do not cause opening of the cervix.,why,Health
What happens when my water bag breaks?,"The experience of water breaking ranges from a slow, continuous leak to a strong gush. In some women, their water bag might not break at all! After your water breaks, use a maternity pad or towel to absorb the fluid. Avoid using a tampon or sexual intercourse as there is a higher chance of infection. In late pregnancy, your water breaking is usually a sign of early labour, and contractions typically follow within 12 to 24 hours after. Call your doctor or go to your hospital (place a plastic sheet on the car seat to protect the fabric) to confirm if your waters have broken, as this will help to plan labour. Rupture of your membranes leakage tends to be continuous till your baby delivers. Once this happens, you must head for the hospital regardless of the presence of the other symptoms. About 80% of women with ruptured membranes will go into established labor pains within 24 hours of the event. 90% of women will go into established labor within 48 hours.",what,Labour
Why do I feel pain before labour?,"Some women experience premature labor pains. The character is similar to normal labor pains. Premature labor is commonly more rapid and may result in the expulsion of the baby soon after labor begins. Hence, many doctors are cautious in evaluating pain in the second and early third trimester to identify premature labor pains and to arrest it early. Women who experience possible labor pains before 36 weeks gestation should consult their obstetrician promptly.",why,Labour
What do I need to bring to the hospital for giving birth?,"For Mom: Toiletries: Lotion, Toothbrush and toothpaste, Hairbrush/comb, Shampoo/soap, Towel/facecloth, Clothing (You will be wearing a hospital gown during your delivery.), Two loose fitting nighties � preferably the breastfeeding kind (if you are not keen to use the hospital gown which are made for breastfeeding), A pair of slippers Few pairs of underwear, Socks, Nursing bra, Clothing to wear upon discharge from the hospital, Birth plan � if you do have one 
2. For Dad: Some reading material when your spouse is sleeping or resting, Toiletries, Change of clothes, Sweater. 3.For Baby: One baby outfit upon discharge, Receiving blanket, One pair of socks or booties, One pair of mittens, Cap C49After Delivery: Name list of people to call once baby arrives. You will inevitable forget to call someone. Digital camera/camcorder � to capture all those precious moments. You should bring along your outpatient appointment booklet, identity cards of both mum and dad, marriage certificate and admission form.",what,Labour
Can I enter the labour room while my wife gives birth?,"Having your spouse by your side throughout the labor can provide you with great physical and moral support. Your partner can massage your back, distract you and provide comfort and reassurance. This can be a great help in calming you down and helping you enjoy your labor.",should,
Should I do a ultrasound scan?,"Ultrasound scan from late second trimester may help to confirm that your baby is growing well. The doctors can also tell if the amniotic fluid in the �water-bag� is sufficient for the baby. This tells them about the health status of baby.
This scan is also useful to determine your baby�s position and the placenta location in the womb. This will help your doctor decide if it would be safe to deliver your baby through the normal birth passage, or if a Cesarean section may be necessary.",should,Check-ups
Should I do a Doppler Ultrasound scan?,"A more specialized mode of ultrasound called a Doppler ultrasound scan may be used for more specific conditions. For example, when the growth of the baby is reduced or anemia (low hemoglobin) is suspected in the baby. Doppler scan can help to provide additional information on the blood flow status of the placenta and the health status of the baby.",should,Check-ups
When can I know the gender of my baby?,"You may be able to determine your baby�s sex with a ultrasound scan after 16�20 weeks gestation. All your baby�s organs are formed by 16 weeks gestation. At 16 weeks gestation, your baby weighs 146 g and is about 12 cm long, about the size of an avocado.C69 Your baby can now hear your voice and heartbeat. Music and mother�s voice are calming to the baby. Your baby can also make sucking, swallowing and breathing movements. Your baby�s heart is now pumping about 6 gallons of blood a day! Usually, the sex of the baby can be determined at 20 weeks, during the fetal abnormalities scan. If you are doing a special bloodtest called NIPT (non-invasive prenatal test), you will be able to find out as early as 12 weeks.The radiographer will usually ask you whether or not you would like to find out at this time. It is completely up to you whether you want to find out at this point, or leave it as a surprise!",when,Baby
Can I do ultrasounds for my baby?,"While the safety of ultrasound scans in pregnancy is endorsed by professional experts and is now a common tool in pregnancy assessment, it is still important to exercise prudency. You should understand the purpose and reason for each ultrasound scan. Also, doctors would ensure that each ultrasound examination is done carefully within a reasonable time.",should,Check-ups
What is a 3 Dimensional Ultrasound and its benefits?,"A 3D ultrasound can furnish us with a three dimensional image of the fetus. The transducer takes a series of images and the computer processes these images and presents them as a three-dimensional image. These costly scans are regarded as �social scans� at the present moment and generally do not add value to the diagnosis of fetal structural problems. Occasionally, it can help to delineate small structural problems such as abnormality in the fingers or toes and minor skin defects. Most hospitals do not offer 3D scans as a routine scan.",what,Check-ups
What is the risk of birth defects?,"The risk in the general population that a fetus has a major structural birth defect is 2�3%. While not all abnormalities can be identified by ultrasound scans, many can be. When a comprehensive examination of the fetus is normal, the risk of a major abnormality is about 1%. Some structural problems like heart defects may recur in subsequent pregnanices. Do consult your doctor who will counsel you on the risks accordingly.",what,Risk
What are Blood Stem Cells and Stem Cell Transplants?,"Since the 1960s, Blood Stem Cells (BSC) has been used for stem cell transplants (SCT), also called Bone Marrow Transplant (BMT) in the past as BSC were harvested from bone marrow. This treatment can potentially cure many diseases, especially blood cancers. Unfortunately, many patients who require SCT do not have these BSCs. These BSCs are usually obtained from a matched sibling. However, many patients are from single child families (hence, no possible sibling donor) or all siblings do not match in some cases. As a result, many of these patients die.",what,Stem Cells
Can stem cells treat illnesses?,"Regenerative therapy refers to the use of stem cells to produce new cells for treatment of diseased organs. Examples include the use of stem cells for treating heart failure, stroke, Parkinson�s Disease, Alzheimer�s Disease and spinal cord injuries. However, most of these are still on an experimental basis, but the initial results are very promising!",should,Stem Cells
How can I relax during labour?,"You can help yourself as far as your labor pains are concerned,  in addition to the analgesia, you may try a variety of self-help methods like relaxation, deep breathing, etc. Keep yourself adequately hydrated � take ice chips to counter your thirst. A frequent mouth wash such as a periodic gargle can help you feel fresh and good. Pass urine frequently as a full bladder may impede labor. If you are unable to void, you may require a catheterization to empty your bladder. Using a damp cloth to wipe your face and body can help you feel refreshed. Having your spouse by your side throughout the labor can provide you with great physical and moral support. Your partner can massage your back, distract you and provide comfort and reassurance. This can be a great help in calming you down and helping you enjoy your labor.",how,Labour
Can I cut the umbilical cord of the baby?,"Most fathers love to cut the umbilical cord for the babies and the doctors often encourage this. Indeed, this would signify the first responsibility of the new father. Armed with digital video cameras, most fathers would be the proud photographer of these precious moments of the newborn. Birth and delivery is miraculous. Both of you must enjoy this emotional experience together!",should,Labour
What do I do after my wife gives birth?,"As a new father, he may be caught up with the various new tasks of fatherhood such as changing diapers and helping with feeds. Be open and communicate with him about your needs. You will want to feel loved. Communication and support is absolutely essential especially in the first few days after delivery. Your partner must understand the possible mood swings and postnatal �blues� that many new mothers face in the first week. You will need all the physical and emotional support that he can provide.",what,Labour
What if my baby is overdue for birth?,"Overdue babies happens when the pregnancies progress past the expected due date (post dates) or two weeks past the expected due dates (post term). There is a definite concern that such babies pass out meconium during labor and is associated with a higher chance of heart rate abnormalities, meconium aspiration into the lungs, cesarean sections and stillbirth. Most doctors would advocate an induction of labor to avoid these problems.",what,Labour
What happens if I get dengue fever during pregnancy?,"Dengue is a mosquito-borne virus infection and is endemic in Southeast Asia. It causes myalgia, high fever and a drop in the blood platelet level with bleeding tendencies. There have been no reports of teratogenic effect of the dengue virus causing fetal malformations in the first and second trimesters. Although rare, there have been reports of vertical transmission from the mother to the baby. Those cases occurred at or near the time of delivery. As a result, the affected infants can develop a fever as well as bleeding tendencies due to low platelet levels.",what,
What position is the best for labour or childbirth?,"Most women deliver in the conventional semi-recumbent position in KK Hospital. This is a position, which is comfortable for the laboring mothers, especially for those on epidural analgesia. This position also allows the obstetrician to have good visualization of the baby�s head position and ease of intervention like forceps or vacuum assisted delivery should the need arise. There is also the rare complication of the baby�s shoulder being stuck in the birth canal (shoulder dystocia) after his/her head is delivered. This life-threatening emergency needs the obstetrician to perform maneuvers to save the baby and the semi-recumbent position is best for such maneuvers.",what,Labour
How does a baby come out of my womb?,"In most pregnancies, babies are born head first. This means that most would have turned to a head down position by 37 weeks. In only 3% to 4% of cases, the babies are found to be breech at time of delivery. After 37 weeks, if the baby is still not in a head down position, it is very unlikely that the baby would turn spontaneously.",how,Labour
What happens during active labour?,"When you are in active labor, your womb contracts to move your baby through the birth passage. The strong contractions may also impair the supply of blood and oxygen to your baby. Thus, monitoring of your baby�s condition is essential during this period. Some babies may not be able to handle the stress of labor and your doctor may have to perform a cesarean section delivery. Monitoring involves measurement of your baby�s heart rate at different phases of the contractions. This monitoring may be performed continuously or intermittently.",what,Labour
When should I find out more about labor pain relief?,"Childbirth is not a test of endurance. In the age of modern medicine, there are now effective methods for the management of labor pain. Ideally, mothers should seek information regarding these options in the weeks or months before the due date, to allow time for informed decision-making about the Options for Labor Pain Relief",when,Labour
Do I need an episiotomy?,"New mothers in their first pregnancy tend to need an episiotomy more than mothers in their second or subsequent pregnancies. This is because the perineum is less elastic and thus, less able to stretch to accommodate the delivering head. In the past, there has been a belief that routine episiotomies can prevent incontinence, protect the pelvic floor and reduce trauma to the delivering head. However, this theory is yet to be conclusively proven and women delivered without episiotomies seem to do as well as those with episiotomies performed. As such, it is no longer a routine practice.",do,Episiotomy
Why do I still feel pain 2-3 days after episiotomy?,"In most instances, the after pain from an episiotomy lasts only 2�3 days. This is usually mild and can be effectively relieved by either topical anesthetic cream or oral painkillers. If the episiotomy is more extensive, the pain can be managed with intermittent icing through the help of a physiotherapist. Sitting devices shaped as doughnuts may be used to relieve the pressure on your wound.",why,Episiotomy
How to clean episiotomy?,"The aftercare of an episiotomy is essentially a matter of cleanliness. Daily washing with water and frequent changing of soiled sanitary napkins will help keep the wound clean. Dissolvable sutures are used to repair the episiotomy or tear. These stitches do not need to be removed as they will dissolve within two weeks after the wound has healed. You just need to keep the sutures as clean and dry as possible. As the area is richly supplied by blood vessels, the wound can usually heal quite well. Passing of urine or stools will not affect the episiotomy. In fact, you are encouraged to ambulate and walk around.",how,Episiotomy
What is the fastest way to relieve labour pain?,Epidural analgesia (EA) is one of the most reliable and effective ways to relieve labor pain. Pain relief is achieved by the injection of local anesthetic drugs through a small tube into the epidural space within the backbone canal performed by a trained anesthetist.,what,Labour
Will I still feel pain after anesthetic?,"Although Epidural analgesia (EA)/Combined Spinal-Epidural Analgesia (CSEA) reduces labor pain to a great extent, some degree of pain may still be felt, especially at the time of �pushing� of the baby.",will,Anesthetic
How does KK Hospital give me anesthetic?,"Patient-controlled Epidural Analgesia (PCEA) KK Hospital now offers a technique known as �Patient-Controlled Epidural Analgesia� or PCEA, wherein a preprogrammed device allows the mother to administer additional drugs into the epidural space by the push of a button. PCEA has greater advantage over conventional EA/CSEA in that the mother has better control over her pain and also uses less drugs during labor.",how,Anesthetic
Will anasthetic cause backaches after labour?,"Conducted studies have failed to establish a link between long-term backache and  Epidural analgesia (EA)/Combined Spinal-Epidural Analgesia (CSEA) . Backache is common after childbirth, with or without the use of EA/CSEA. Proper back care during pregnancy and after childbirth is important.",symptom,Anesthetic
How hard should I push when I give birth?,"The more effectively the mother pushes during the contractions, the less the doctor will have to pull with the forceps or vacuum. This good cooperation and coordination between the mother and doctor increases the chance of a safe delivery.",how,Labour
